x_m,y_m,yaw,curvature
68.053476,0.000000,0.000000000,0.000000000
68.593583,0.000000,0.000000000,0.000000000
69.133690,0.000000,0.000000000,0.000000000
69.673797,0.000000,0.000000000,0.000000000
70.213904,0.000000,0.000000000,0.000000000
70.754011,0.000000,0.000000000,0.000000000
71.294118,0.000000,0.000000000,0.000000000
71.834225,0.000000,0.000000000,0.000000000
72.374332,0.000000,0.000000000,0.000000000
72.914439,0.000000,0.000000000,0.000000000
73.454545,0.000000,0.000000000,0.000000000
73.994652,0.000000,0.000000000,0.000000000
74.534759,0.000000,0.000000000,0.000000000
75.074866,0.000000,0.000000000,0.000000000
75.614973,0.000000,0.000000000,0.000000000
76.155080,0.000000,0.000000000,0.000000000
76.695187,0.000000,0.000000000,0.000000000
77.235294,0.000000,0.000000000,0.000000000
77.775401,0.000000,0.000000000,0.000000000
78.315508,0.000000,0.000000000,0.000000000
78.855615,0.000000,0.000000000,0.000000000
79.395722,0.000000,0.000000000,0.000000000
79.935829,0.000000,0.000000000,0.000000000
80.475936,0.000000,0.000000000,0.000000000
81.016043,0.000000,0.000000000,0.000000000
81.556150,0.000000,0.000000000,0.000000000
82.096257,0.000000,0.000000000,0.000000000
82.636364,0.000000,0.000000000,0.000000000
83.176471,0.000000,0.000000000,0.000000000
83.716578,0.000000,0.000000000,0.000000000
84.256684,0.000000,0.000000000,0.000000000
84.796791,0.000000,0.000000000,0.000000000
85.336898,0.000000,0.000000000,0.000000000
85.877005,0.000000,0.000000000,0.000000000
86.417112,0.000000,0.000000000,0.000000000
86.957219,0.000000,0.000000000,0.000000000
87.497326,0.000000,0.000000000,0.000000000
88.037433,0.000000,0.000000000,0.000000000
88.577540,0.000000,0.000000000,0.000000000
89.117647,0.000000,0.000000000,0.000000000
89.657754,0.000000,0.000000000,0.000000000
90.197861,0.000000,0.000000000,0.000000000
90.737968,0.000000,0.000000000,0.000000000
91.278075,0.000000,0.000000000,0.000000000
91.818182,0.000000,0.000000000,0.000000000
92.358289,0.000000,0.000000000,0.000000000
92.898396,0.000000,0.000000000,0.000000000
93.438503,0.000000,0.000000000,0.000000000
93.978610,0.000000,0.000000000,0.000000000
